f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,target
40.593414,17.750235,3,3.1919246,384.9671415,11.12814807,573.2415788,425.1946812,Batch1,26.02432154,0.923976891,47.0282,11565.116
35.341896,17.622787,3,3.0227888,378.617357,9.07785523,571.5401051,443.6129256,Batch2,27.38557364,0.824683719,50.26679325,11471.065
51.776978,20.0249,3,3.1222382,386.4768854,11.07179652,603.3143515,455.5162443,Batch1,31.78289434,0.578927718,45.2145391,11555.817
34.336082,18.289965,3,2.940709,395.2302986,10.31302075,609.1546924,369.5399849,Batch3,28.19462233,0.778858393,52.69517701,11468.178
75.58123,24.530027,3,3.1811361,377.6584663,11.06596617,598.4138753,408.4435282,Batch1,19.03185455,0.936185716,52.32937117,11544.579
30.932428,19.017899,3,2.5999014,377.6586304,11.12154535,607.9173309,354.7948535,Batch1,26.06522811,0.534757471,41.60384578,11455
34.052025,17.565327,3,2.9339383,395.7921282,11.78633205,574.4303815,404.9101877,Batch1,28.00363723,0.541860617,58.21376201,11494.283
55.56456,19.741476,3,3.20146,387.6743473,11.58276292,598.3691003,363.8003898,Batch4,15.62883001,0.63680388,49.21050684,11582.133
33.873207,17.67079,3,2.8542454,375.3052561,11.57725733,612.6474049,442.1686342,Batch1,24.78183265,0.826131163,43.90308264,11475.783
96.875916,11.01416,3,2.965836,385.4256004,11.65493626,594.6165159,362.5257003,Batch1,23.32208728,0.589004255,46.14767719,11479.771
76.24108,44.554977,3,2.872541,375.3658231,10.73310319,614.3557869,406.4617196,Batch2,21.72653463,0.908183602,57.3244351,11502.239
35.86385,16.753942,3,2.9084268,375.3427025,10.52574807,596.0953024,407.3205676,Batch2,27.49388526,0.875215088,47.66370344,11573.961
37.400772,16.860819,3,3.085216,382.4196227,11.19825367,586.6879665,456.8815548,Batch3,19.25159237,0.780502427,51.23922342,11502.273
38.76849,17.311062,3,2.922558,360.8671976,11.08566476,584.2884038,422.0478763,Batch2,27.08439756,0.558033852,58.9537947,11581.536
34.35393,17.158283,3,2.9097817,362.7508217,10.25274701,592.8721647,381.6624322,Batch1,27.79745565,0.994109914,53.03432875,11535.228
38.273926,16.353859,3,2.9456704,374.3771247,10.82385873,561.8471698,376.4879241,Batch2,30.41881655,0.745016815,53.51433488,11588.74
35.77468,17.00375,3,3.0323684,369.8716888,10.47192283,613.4820111,364.1073026,Batch4,19.38290369,0.726036574,44.97137674,11550.385
60.250668,19.32336,3,2.7808394,383.1424733,9.816853673,627.6084513,433.2166196,Batch3,17.47382891,0.99778454,53.3659037,11588.611
57.28538,22.07146,3,3.0334074,370.9197592,11.53236859,588.3701676,425.9832322,Batch2,26.39451804,0.931934132,47.87605488,11569.001
36.632515,17.43026,3,3.0459826,365.876963,10.54415939,563.6826509,417.086484,Batch3,23.56864383,0.728183867,58.22084969,11535.047
39.56172,18.566555,3,3.0907593,394.6564877,12.13896661,638.9420478,354.4924487,Batch3,39.51325131,0.709401493,42.59077696,11561.96
37.927895,16.444464,3,2.881253,377.742237,9.199606184,581.0958604,433.9111753,Batch3,27.29249238,0.547954691,45.71280699,11585.83
35.977253,17.375116,3,3.0360503,380.675282,10.05457698,570.1296897,420.6076335,Batch4,25.29080856,0.963255873,41.32001457,11547.833
33.602573,18.935347,3,2.8172452,365.7525181,10.52611107,589.5802006,456.0277755,Batch1,24.13586022,0.921887424,47.61807698,11459.021
58.972485,14.801787,3,2.9142087,374.5561728,11.40990488,619.0845633,414.5922343,Batch4,18.90969077,0.655001246,42.96745332,11473.496
62.00236,11.310277,3,2.8948846,381.1092259,10.8195755,583.5133278,383.4347097,Batch3,27.81940776,0.876660644,56.90287509,11487.367
32.98069,18.216402,3,2.6371253,368.4900642,10.7483782,605.9762563,391.9672607,Batch2,24.60427487,0.881364713,58.50086404,11463.876
41.46424,17.944752,3,2.8447728,383.7569802,9.598188966,593.2447996,369.3424776,Batch2,24.60843158,0.613955359,53.3885129,11581.394
36.75731,15.956286,3,2.8727283,373.9936131,9.574446882,569.4211194,429.52056,Batch4,25.47221663,0.806827735,42.066692,11587.978
80.041214,58.9683,3,2.8215377,377.0830625,10.75800373,586.422961,427.8493826,Batch2,26.10606265,0.627514402,46.83261763,11510.435
35.940674,17.451637,3,3.0093675,373.9829339,9.408715205,617.9896405,372.0715017,Batch3,16.30372177,0.894943026,59.28983785,11524.979
43.978504,12.035941,3,2.9726253,398.5227818,10.0744978,608.9603118,367.4338256,Batch3,29.18511503,0.576904851,42.72602448,11495.94
35.729324,17.852161,3,3.049333,379.8650278,10.90073386,569.5822704,358.4705427,Batch1,20.76777813,0.834452999,51.12978765,11530.84
34.879852,16.930874,3,2.9634762,369.4228907,9.714140582,573.0657928,450.3173318,Batch3,24.30983901,0.663005856,47.05858952,11581.857
68.40632,32.654724,3,3.0395703,388.2254491,11.78428477,611.2586687,375.6376817,Batch2,31.4295246,0.518091029,59.98325224,11502.735
62.34091,21.145771,3,2.841853,367.7915635,11.47914908,625.0732331,387.8579879,Batch1,33.89724296,0.561852322,45.70778129,11573.94
37.07086,17.074762,3,2.8644545,382.088636,9.242864001,587.9579597,380.8554959,Batch2,16.49752781,0.827449569,40.95544531,11558.169
39.250294,17.514261,3,3.098433,360.4032988,9.754103005,607.6248601,395.4987063,Batch4,25.15122414,0.619957152,54.0436563,11541.987
35.325703,17.063807,3,2.8618832,366.7181395,8.671378204,573.6514871,428.5453679,Batch1,26.36456593,0.815517686,46.5347866,11559.564
35.50997,16.655378,3,2.913477,381.9686124,9.87392691,584.910107,445.7655197,Batch3,17.46234987,0.707411083,53.15162868,11580.016
53.764877,20.876495,3,2.875655,387.3846658,11.11311078,561.6216165,370.0858624,Batch1,29.01295682,0.846356732,42.09303974,11586.506
45.681076,18.841967,3,3.1281474,381.7136828,10.16888405,621.4620758,425.5053578,Batch3,25.58131339,0.746474311,50.46126402,11528.916
30.92296,18.937273,3,2.6879647,378.8435172,10.86863779,592.0807856,388.7818356,Batch3,25.97079798,0.654273549,47.50463097,11460.473
35.888996,16.937067,3,3.0144088,376.988963,9.282132545,625.2900459,457.8579885,Batch2,20.41223541,0.57290959,50.73534268,11542.145
47.36072,18.795458,3,3.161787,365.2147801,11.1383802,616.6698397,382.8811075,Batch3,27.06443322,0.670549126,57.06944796,11566.138
37.64332,18.076883,3,3.059905,372.8015579,10.05591262,626.2995413,350.7912252,Batch3,29.19111978,0.817447039,59.45494576,11499.183
36.971874,17.790344,3,3.0565686,375.3936123,10.50973575,582.8526936,406.7203971,Batch3,25.63648942,0.870236753,55.06264298,11524.577
65.83688,34.341927,3,2.9691374,390.5712223,10.4257004,574.8086984,366.5804193,Batch2,22.4303205,0.580169837,55.3371663,11488.986
37.54586,17.03201,3,3.137957,383.4361829,9.482761183,637.7524546,354.894387,Batch3,22.81965341,0.832136204,50.57872179,11585.758
60.765594,23.462063,3,2.8382192,362.3695984,9.577532535,617.386223,426.8096155,Batch4,26.10197854,0.589639755,41.94799888,11464.812
37.515076,17.765556,3,3.1040547,383.2408397,11.27423558,626.7233814,430.5485211,Batch2,25.24398689,0.610909672,53.34119093,11482.263
33.046684,18.194098,3,2.9037352,376.1491772,10.81919373,561.0506699,400.6768914,Batch4,29.5241106,0.76565862,42.95559744,11468.028
39.082222,17.567427,3,2.880166,373.23078,11.34003923,588.3569296,424.4574068,Batch1,22.59870856,0.644601151,44.91322113,11592.488
43.665615,18.422096,3,3.19811,386.1167629,10.75972659,619.4253352,409.2063393,Batch2,18.90809699,0.830797721,54.15165026,11569.919
62.403618,30.020008,3,2.9473572,390.3099952,10.61439251,566.2386266,419.2781218,Batch4,26.79693039,0.977888312,53.13985188,11530.8955
34.462727,17.598284,3,2.9001935,389.3128012,9.119191505,605.3871944,415.6374371,Batch2,22.61235074,0.574446101,46.28651883,11476.691
38.812553,17.551262,3,3.1570814,371.6078248,10.28370664,594.3258214,423.240504,Batch3,28.91840975,0.785255416,55.44088472,11559.284
38.592834,17.531834,3,3.0901165,376.9078762,10.47809254,561.4093206,371.9593714,Batch2,25.03769315,0.961649591,58.78631569,11571.134
40.718277,17.702093,3,3.1814592,383.3126343,12.06248576,578.8780462,379.5577282,Batch1,28.27406602,0.588264488,50.90519242,11563.177
36.58343,16.47633,3,2.902077,389.7554513,11.04956531,582.7833591,398.3959464,Batch4,19.92841477,0.683425452,53.55373318,11582.066
67.13109,23.026293,3,2.903819,375.2082576,11.72884895,568.9487957,399.074081,Batch2,25.71693132,0.561808417,45.43559169,11570.336
34.86783,17.180798,3,2.9226205,378.1434102,10.97803016,610.5229528,435.1852883,Batch3,21.50368396,0.821018859,59.41614089,11564.878
37.047077,17.408455,3,2.9690745,368.9366503,9.930957418,579.3918301,390.4133025,Batch4,18.89813173,0.834571464,45.47409824,11573.621
72.90546,24.230808,3,3.1657739,368.0379338,10.59369937,582.20956,367.8755672,Batch4,20.69446061,0.83209116,57.74818048,11568.932
76.49629,14.561297,3,2.9607048,388.1252582,10.68897892,631.8590879,377.6612568,Batch4,22.27761454,0.771063524,58.55738224,11489.295
59.164413,20.89735,3,3.1594663,393.5624003,9.748675544,597.3698474,373.6206853,Batch1,31.22347264,0.873130434,54.39257189,11560.495
32.12252,18.132267,3,2.8536146,379.2798988,10.1924901,591.3702518,430.4826021,Batch3,22.145298,0.517938648,56.23174855,11465.4
44.896873,18.611341,3,3.1815574,390.035329,10.33538641,617.9096831,401.7373576,Batch3,18.64229875,0.978756744,49.15713616,11575.889
37.37284,17.52522,3,3.0964224,383.6163603,11.78449587,632.7691038,427.9493768,Batch4,25.65738711,0.611048104,58.39093579,11565.958
35.549892,16.97746,3,2.9194636,373.5488025,8.83540758,562.0029069,395.7841649,Batch2,25.1459033,0.560780984,54.8529249,11560.471
35.303913,17.317366,3,3.0333006,383.6139561,11.46465474,595.8591077,447.8709163,Batch4,22.53973494,0.970568021,46.53487983,11552.1
58.465805,31.492598,3,2.9363158,395.3803657,9.750563812,608.8625085,458.1872338,Batch3,24.19388267,0.915218458,40.69890335,11481.599
72.30885,36.85732,3,2.9117074,379.6417396,9.40233665,585.4850479,423.682676,Batch1,29.88113543,0.88243521,50.81566453,11496.478
30.24867,18.78568,3,2.6143384,395.6464366,11.4439537,621.7926178,445.0193813,Batch1,28.35352883,0.552372854,56.81300649,11457.49
39.560345,17.351572,3,3.166498,353.802549,11.08551846,637.7181656,405.8726594,Batch4,27.92115103,0.903764607,57.21336238,11570.865
53.502346,20.069996,3,3.186186,388.219025,11.50361496,635.4741893,452.8082924,Batch1,19.08160608,0.804511762,56.70237451,11570.85
36.366493,17.248571,3,3.0297089,380.8704707,11.14056156,581.2786032,441.4745134,Batch1,39.43274031,0.865954306,44.29492971,11554.252
35.831245,17.231869,3,2.89736,377.0099265,12.147876,578.1070623,459.0956429,Batch2,30.25626105,0.98903514,48.52296959,11552.464
40.8269,12.224791,3,3.0268922,380.9176078,10.94697907,636.5992425,418.5403109,Batch1,27.58514282,0.597220589,52.2765171,11475.975
36.020737,18.824139,3,2.8038423,360.1243109,10.3748181,596.690279,435.7127414,Batch2,19.17844113,0.75219098,53.35112984,11520.054
35.083622,16.624926,3,3.0158982,377.8032811,10.7743411,576.6638178,409.7154954,Batch4,29.73865056,0.876675973,46.69166843,11474.68
36.62676,17.505943,3,3.03638,383.5711257,11.4947753,616.5597571,378.5032115,Batch3,22.49435745,0.716828175,53.85284648,11526.913
48.39635,18.968262,3,3.1733167,394.7789404,9.87649974,582.7536259,389.0230688,Batch3,24.02864598,0.527326541,51.81794015,11570.47
46.514217,18.758354,3,3.153357,374.8172978,9.978489134,581.379758,448.3405956,Batch2,16.59610362,0.555719449,51.33551149,11565.109
45.071526,19.035004,3,3.1187472,371.915064,10.25283199,630.3399234,356.1542741,Batch3,18.79258457,0.801045986,53.26049647,11538.158
36.056686,17.068544,3,3.12631,374.9824296,8.816333761,572.9983323,415.0627875,Batch4,27.19273249,0.642502073,52.06735858,11578.009
36.662,17.570318,3,2.953175,389.1540212,10.61046273,565.1514357,390.9732436,Batch3,30.03117338,0.568920324,43.33749269,11524.521
33.11015,17.924063,3,2.9143078,383.2875111,8.991097037,581.5349152,392.5361792,Batch1,28.4245221,0.669945999,57.48832655,11465.344
35.188423,17.863733,3,2.8730378,374.702398,10.54244745,608.555633,447.3028327,Batch4,28.25409498,0.600490466,44.81139507,11476.849
40.46073,18.07018,3,2.8894837,385.1326743,11.1922318,569.8470283,443.9204612,Batch4,24.67616772,0.511969733,54.88977562,11587.409
37.163853,17.292608,3,3.19107,380.9707755,10.11849883,597.7275738,415.8726613,Batch3,22.96646492,0.575906994,43.52913346,11578.208
38.178535,17.060255,3,3.1175625,389.6864499,11.8416927,610.1869688,380.0210732,Batch3,26.44447572,0.94153898,53.21932826,11579.765
35.25504,17.240105,3,2.965181,372.9794691,9.33159928,627.8989594,402.3001981,Batch2,29.10704162,0.506018641,57.91367518,11561.772
106.241196,31.672096,3,3.2334418,376.7233785,11.45300855,578.3895673,394.9122733,Batch1,25.02431127,0.886925152,40.19421031,11572.45
101.22445,10.6775,3,2.9363916,376.0789185,11.04010965,625.3877059,388.8979832,Batch3,31.0512601,0.876730553,59.59355333,11477.296
34.538067,19.058582,3,2.83767,365.3648505,9.127173401,578.7925009,361.3064136,Batch3,23.92465368,0.782118844,40.59351733,11459.092
63.158997,21.780188,3,2.918656,382.9612028,12.66863544,614.1413233,409.7425275,Batch2,20.09860532,0.604223883,40.22735242,11570.867
43.77904,17.982706,3,2.8703463,382.6105527,10.44900377,594.4538857,383.2014428,Batch3,24.94818879,0.939029612,57.15120197,11592.299
188.67532,44.103077,3,2.571057,380.0511346,9.798012782,569.1744994,422.6888737,Batch1,25.52986139,0.737537784,54.17408006,11498.819
35.021458,17.675585,3,2.9263,377.6541287,9.374330244,617.141077,385.1124329,Batch1,24.58984966,0.586603115,42.11621316,11484.85
41.357315,17.89204,3,3.14829,365.8462926,10.32398558,577.4210095,397.4279842,Batch4,31.4032778,0.714511296,58.74829813,11567.44
34.248383,16.800251,3,2.9167566,375.7935468,10.3980745,574.1298741,355.7596412,Batch4,29.0265099,0.597458614,53.43864482,11573.054
68.14359,21.508732,3,2.8755445,376.5728548,10.58211642,588.6658343,459.1791877,Batch1,17.84529506,0.688003921,42.22087087,11588.082
