iter	Passed	Remaining
0	140	27873
1	142	14130
2	145	9536
3	147	7249
4	150	5879
5	153	4964
6	156	4312
7	159	3827
8	162	3445
9	165	3136
10	168	2888
11	170	2677
12	173	2500
13	176	2351
14	179	2217
15	182	2098
16	184	1991
17	188	1901
18	191	1819
19	193	1745
20	196	1675
21	199	1611
22	201	1553
23	204	1499
24	207	1449
25	209	1403
26	212	1360
27	214	1319
28	217	1282
29	220	1247
30	223	1215
31	225	1184
32	228	1155
33	231	1128
34	233	1101
35	236	1077
36	239	1053
37	241	1031
38	244	1009
39	247	988
40	249	969
41	252	951
42	256	934
43	257	914
44	260	897
45	263	880
46	265	865
47	268	850
48	271	835
49	273	821
50	276	808
51	279	795
52	282	783
53	285	771
54	288	761
55	291	750
56	294	739
57	297	728
58	300	719
59	303	708
60	306	698
61	309	688
62	312	678
63	314	669
64	317	659
65	320	651
66	323	642
67	326	633
68	329	624
69	332	616
70	334	608
71	337	600
72	340	592
73	343	584
74	345	576
75	348	568
76	348	557
77	351	549
78	354	542
79	356	535
80	359	528
81	362	521
82	365	515
83	368	508
84	371	502
85	374	496
86	377	490
87	380	484
88	383	478
89	386	472
90	389	466
91	392	460
92	395	454
93	398	448
94	400	443
95	403	437
96	406	431
97	409	425
98	411	420
99	414	414
100	416	408
101	419	402
102	422	397
103	424	392
104	427	386
105	430	381
106	433	376
107	436	371
108	439	366
109	442	361
110	444	356
111	447	351
112	448	345
113	451	340
114	455	336
115	458	331
116	461	327
117	464	322
118	466	317
119	469	313
120	472	308
121	475	303
122	478	299
123	481	294
124	484	290
125	487	286
126	490	281
127	492	277
128	495	272
129	498	268
130	501	264
131	504	259
132	507	255
133	510	251
134	513	247
135	515	242
136	518	238
137	521	234
138	524	230
139	527	225
140	530	221
141	533	217
142	536	213
143	539	209
144	542	205
145	546	201
146	549	197
147	551	193
148	555	190
149	558	186
150	561	182
151	564	178
152	567	174
153	570	170
154	573	166
155	576	162
156	579	158
157	582	154
158	585	151
159	588	147
160	591	143
161	594	139
162	597	135
163	600	131
164	603	128
165	606	124
166	609	120
167	612	116
168	615	112
169	618	109
170	621	105
171	623	101
172	626	97
173	629	94
174	633	90
175	636	86
176	639	83
177	642	79
178	644	75
179	647	71
180	650	68
181	653	64
182	655	60
183	658	57
184	661	53
185	664	49
186	666	46
187	669	42
188	673	39
189	675	35
190	678	31
191	681	28
192	683	24
193	686	21
194	689	17
195	692	14
196	695	10
197	698	7
198	701	3
199	704	0
